Answer,Description,Specific Type,General Type
xylem,"Xylem is one of the two types of transport tissue in vascular plants, phloem being the other. The word xylem is derived from the Greek word ξύλον, meaning ""wood""; the best-known xylem tissue is wood, though it is found throughout the plant.
The basic function of xylem is to transport water, but it also transports some nutrients.",,
chromatic_aberration,"In optics, chromatic aberration is a type of distortion in which there is a failure of a lens to focus all colors to the same convergence point. It occurs because lenses have different refractive indices for different wavelengths of light. The refractive index decreases with increasing wavelength.
Chromatic aberration manifests itself as ""fringes"" of color along boundaries that separate dark and bright parts of the image, because each color in the optical spectrum cannot be focused at a single common point. Since the focal length f of a lens is dependent on the refractive index n, different wavelengths of light will be focused on different positions.",,
jihad,"Jihad, is an Islamic term referring to a religious duty of Muslims. In Arabic, the word jihād is a noun meaning ""struggle"" or ""resisting"". A person engaged in jihad is called a mujahid, the plural of which is mujahideen. The word jihad appears frequently in the Quran, often in the idiomatic expression ""striving in the way of God"".
Muslims and scholars do not all agree on its definition. Within the context of the classical Islamic law, it refers to struggle against those who do not believe in the Islamic God and do not acknowledge the submission to Muslims, and so is often translated as ""Holy War"", although this term is controversial. According to the Dictionary of Islam and Islamic historian Bernard Lewis, in the large majority of cases jihad has a military meaning. Javed Ghamidi states that there is consensus amongst Islamic scholars that the concept of jihad will always include armed struggle against wrong doers.",Religious Practice,"religion,religious practice"
inca_empire,"The Inca Empire or Inka Empire was the largest empire in pre-Columbian America. The administrative, political and military center of the empire was located in Cusco in modern-day Peru. The Inca civilization arose from the highlands of Peru sometime in the early 13th century, and the last Inca stronghold was conquered by the Spanish in 1572.
From 1438 to 1533, the Incas used a variety of methods, from conquest to peaceful assimilation, to incorporate a large portion of western South America, centered on the Andean mountain ranges, including, besides Peru, large parts of modern Ecuador, western and south central Bolivia, northwest Argentina, north and central Chile, and a small part of southern Colombia into a state comparable to the historical empires of Eurasia.
The official language of the empire was Quechua, although hundreds of local languages and dialects of Quechua were spoken. The Inca referred to their empire as Tawantinsuyu which can be translated as ""The Four Regions"" or ""The Four United Provinces.""",Location,"location,location"
cyprus,"Cyprus, officially the Republic of Cyprus, is an island country in the Eastern Mediterranean Sea. Cyprus is the third largest and third most populous island in the Mediterranean, and a member state of the European Union. It is located south of Turkey, west of Syria and Lebanon, northwest of Israel, north of Egypt and east of Greece.
The earliest known human activity on the island dates to around the 10th millennium BC. Archaeological remains from this period include the well-preserved Neolithic village of Khirokitia, and Cyprus is home to some of the oldest water wells in the world. Cyprus was settled by Mycenaean Greeks in two waves in the 2nd millennium BC. At a strategic location in the Middle East, it was subsequently occupied by several major powers, including the empires of the Assyrians, Egyptians and Persians, from whom the island was seized in 333 BC by Alexander the Great. Subsequent rule by Ptolemaic Egypt, the Roman Empire, the Byzantines, Arab caliphates for a short period, the French Lusignan dynasty and the Venetians, was followed by over three centuries of Ottoman rule between 1571 and 1878.",Country,"location,country"
lawrence_livermore_national_laboratory,"Lawrence Livermore National Laboratory is a federal research facility in Livermore, California, founded by the University of California in 1952. A Federally Funded Research and Development Center, it is primarily funded by the United States Department of Energy and managed and operated by Lawrence Livermore National Security, LLC, a partnership of the University of California, Bechtel, Babcock & Wilcox, URS, and Battelle Memorial Institute in affiliation with the Texas A&M University System. The laboratory was honored in 2012 by having the synthetic chemical element livermorium named after it.",Cancer Center Constituent,"medicine,cancer center constituent"
norovirus,"Norovirus, sometimes known as the winter vomiting bug in the UK, is the most common cause of viral gastroenteritis in humans. It affects people of all ages. The virus is transmitted by fecally contaminated food or water, by person-to-person contact, and via aerosolization of the virus and subsequent contamination of surfaces. The virus affects around 267 million people and causes over 200,000 deaths each year; these deaths are usually in less developed countries and in the very young, elderly and immunosuppressed.
Norovirus infection is characterized by nausea, forceful vomiting, watery diarrhea, abdominal pain, and in some cases, loss of taste. General lethargy, weakness, muscle aches, headache, and low-grade fever may occur. The disease is usually self-limiting, and severe illness is rare. Although having norovirus can be unpleasant, it is not usually dangerous and most who contract it make a full recovery within a couple of days. Norovirus is rapidly inactivated by either sufficient heating or by chlorine-based disinfectants, but the virus is less susceptible to alcohols and detergents.",Disease cause,"medicine,disease cause"
huitzilopochtli,"In the Aztec religion, Huitzilopochtli, is a Mesoamerican deity of war, sun, human sacrifice and the patron of the city of Tenochtitlan. He was also the national god of the Mexicas, also known as Aztecs, of Tenochtitlan. Many in the pantheon of deities of the Aztecs were inclined to have a fondness for a particular aspect of warfare. However, Huitzilopochtli was known as the primary god of war in ancient Mexico. Since he was the patron god of the Mexica, he was credited with both the victories and defeats that the Mexica people had on the battlefield. It is important to remember that the defeat of their patron deity meant the defeat of his people. This is one of the many reasons why they were concerned with providing exquisite tribute and food for him. Not only was it important for him to survive his battles, but the fate of the Mexica people would have rested in the victory of Huitzilopochtli.",Deity,"religion,deity"
yosemite_national_park,"Yosemite National Park is a United States National Park spanning eastern portions of Tuolumne, Mariposa and Madera counties in the central eastern portion of the U.S. state of California. The park, which is managed by the National Park Service, covers an area of 747,956 acres and reaches across the western slopes of the Sierra Nevada mountain chain. Over 3.7 million people visit Yosemite each year: most spend their time in the seven square miles of Yosemite Valley. Designated a World Heritage Site in 1984, Yosemite is internationally recognized for its spectacular granite cliffs, waterfalls, clear streams, giant sequoia groves, and biological diversity. Almost 95% of the park is designated wilderness. Yosemite was central to the development of the national park idea. First, Galen Clark and others lobbied to protect Yosemite Valley from development, ultimately leading to President Abraham Lincoln's signing the Yosemite Grant in 1864. Later, John Muir led a successful movement to establish a larger national park encompassing not just the valley, but surrounding mountains and forests as well—paving the way for the United States national park system.",National park,"m,05gz5"
kwashiorkor,"Kwashiorkor or Ga is a form of severe protein–energy malnutrition characterized by edema, irritability, anorexia, ulcerating dermatoses, and an enlarged liver with fatty infiltrates. Sufficient calorie intake, but with insufficient protein consumption, distinguishes it from marasmus. Kwashiorkor cases occur in areas of famine or poor food supply. Cases in the developed world are rare.
Jamaican pediatrician Cicely Williams introduced the name into the medical community in her 1935 Lancet article. The name is derived from the Ga language of coastal Ghana, translated as ""the sickness the baby gets when the new baby comes"", and reflecting the development of the condition in an older child who has been weaned from the breast when a younger sibling comes. Breast milk contains proteins and amino acids vital to a child's growth. In at-risk populations, kwashiorkor may develop after a mother weans her child from breast milk, replacing it with a diet high in carbohydrates, especially starches, but deficient in protein.",Disease or medical condition,"medicine,disease"
geography_of_thailand,"Thailand's 514,000 square kilometers lie in the middle of mainland Southeast Asia. The nation's axial position influenced many aspects of Thailand's society and culture—it controls the only land route from Asia to Malaysia and Singapore.",,
the_lion_king_(musical),"The Lion King is a musical based on the 1994 Disney animated film of the same name with music by Elton John and lyrics by Tim Rice along with the musical score created by Hans Zimmer with choral arrangements by Lebo M. Directed by Julie Taymor, the musical features actors in animal costumes as well as giant, hollow puppets. The show is produced by Disney Theatrical.
The musical debuted July 8, 1997, in Minneapolis, Minnesota at the Orpheum Theatre, and was an instant success before premiering on Broadway at the New Amsterdam Theater on October 15, 1997 in previews with the official opening on November 13, 1997. On June 13, 2006, the Broadway production moved to the Minskoff Theatre to make way for the musical version of Mary Poppins, where it is still running after more than 6,700 performances. It is Broadway's fourth longest-running show in history and the highest grossing Broadway production of all time, having grossed more than $1 billion.
The show debuted in the West End's Lyceum Theatre on October 19, 1999 and is still running.",Music theatre Play,"m,0557q"
eugenics,"Eugenics is the belief and practice of improving the genetic quality of the human population. It is a social philosophy advocating the improvement of human genetic traits through the promotion of higher reproduction of people with desired traits, and reduced reproduction of people with less-desired or undesired traits.",Film subject,"film,film subject"
uzbekistan,"Uzbekistan, officially the Republic of Uzbekistan, is a doubly landlocked country in Central Asia. It is a unitary, constitutional, presidential republic, comprising 12 provinces, 1 autonomous republic, and 1 independent city. Uzbekistan is bordered by five countries: Kazakhstan and the Aral Sea to the north; Tajikistan to the southeast; Kyrgyzstan to the northeast; Afghanistan to the south; and Turkmenistan to the southwest.
Once part of the Turkic Khaganate and later Timurid Empires, the region which today includes the Republic of Uzbekistan was conquered in the early 16th century by nomads who spoke an Eastern Turkic language. This region was subsequently incorporated into the Russian Empire in the 19th century, and in 1924 it became a bordered constituent republic of the Soviet Union, known as the Uzbek Soviet Socialist Republic. It subsequently became the independent Republic of Uzbekistan on 31 August 1991. Most of Uzbekistan's population today belong to the Uzbek ethnic group and speak Uzbek, a language belonging to the family of Turkic languages.
Uzbekistan's economy relies mainly on commodity production, including cotton, gold, uranium, and natural gas.",Country,"location,country"
a_hero_of_our_time,"A Hero of Our Time is a novel by Mikhail Lermontov, written in 1839 and revised in 1841.
It is an example of the superfluous man novel, noted for its compelling Byronic hero Pechorin and for the beautiful descriptions of the Caucasus. There are several English translations, including one by Vladimir Nabokov and Dmitri Nabokov in 1958.",Book,"book,book"
chloroplast,"Chloroplasts are organelles, specialized subunits, in plant and algal cells. Their main role is to conduct photosynthesis, where the photosynthetic pigment chlorophyll captures the energy from sunlight, and stores it in the energy storage molecules ATP and NADPH while freeing oxygen from water. They then use the ATP and NADPH to make organic molecules from carbon dioxide in a process known as the Calvin cycle. Chloroplasts carry out a number of other functions, including fatty acid synthesis, much amino acid synthesis, and the immune response in plants.
A chloroplast is one of three types of plastids, characterized by its high concentration of chlorophyll. Chloroplasts are highly dynamic—they circulate and are moved around within plant cells, and occasionally pinch in two to reproduce. Their behavior is strongly influenced by environmental factors like light color and intensity. Chloroplasts, like mitochondria, contain their own DNA, which is thought to be inherited from their ancestor—a photosynthetic cyanobacterium that was engulfed by an early eukaryotic cell. Chloroplasts cannot be made by the plant cell, and must be inherited by each daughter cell during cell division.",,
sodom_and_gomorrah,"Sodom and Gomorrah were cities mentioned in the Book of Genesis and throughout the Hebrew Bible, the New Testament and in deuterocanonical sources, as well as in the Qur'an.
According to the Torah, the kingdoms of Sodom and Gomorrah were allied with the cities of Admah, Zeboim and Bela. These five cities, also known as the ""cities of the plain"", were situated on the Jordan River plain in the southern region of the land of Canaan. The plain, which corresponds to the area just north of the modern-day Dead Sea, was compared to the garden of Eden as being a land well-watered and green, suitable for grazing livestock.
Divine judgment by God was then passed upon Sodom and Gomorrah and two neighboring cities, which were completely consumed by fire and brimstone. Neighboring Zoar was the only city to be spared. In Abrahamic religions, Sodom and Gomorrah have become synonymous with impenitent sin, and their fall with a proverbial manifestation of divine retribution. Sodom and Gomorrah have been used as metaphors for vice and homosexuality viewed as a deviation.",City/Town/Village,"location,citytown"
naming_and_necessity,"Naming and Necessity is a book by the philosopher Saul Kripke that was first published in 1980 and deals with the debates of proper nouns in the philosophy of language. The book is based on a transcript of three lectures given at Princeton University in 1970. The transcript was brought out originally in 1971 in The Semantics of Natural Language, edited by Donald Davidson and Gilbert Harman. Among analytic philosophers, Naming and Necessity is widely considered one of the most important philosophical works of the twentieth century.",Philosophy Book,"m,037mh8"
citric_acid_cycle,"The citric acid cycle – also known as the tricarboxylic acid cycle, or the Krebs cycle, – is a series of chemical reactions used by all aerobic organisms to generate energy through the oxidation of acetate derived from carbohydrates, fats and proteins into carbon dioxide and chemical energy in the form of adenosine triphosphate. In addition, the cycle provides precursors of certain amino acids as well as the reducing agent NADH that is used in numerous other biochemical reactions. Its central importance to many biochemical pathways suggests that it was one of the earliest established components of cellular metabolism and may have originated abiogenically.
The name of this metabolic pathway is derived from citric acid that is consumed and then regenerated by this sequence of reactions to complete the cycle. In addition, the cycle consumes acetate and water, reduces NAD⁺ to NADH, and produces carbon dioxide as a waste byproduct. The NADH generated by the TCA cycle is fed into the oxidative phosphorylation pathway. The net result of these two closely linked pathways is the oxidation of nutrients to produce usable chemical energy in the form of ATP.",,
follicle-stimulating_hormone,"Follicle-stimulating hormone is a hormone found in humans and other animals. It is synthesized and secreted by gonadotrophs of the anterior pituitary gland. FSH regulates the development, growth, pubertal maturation and reproductive processes of the body. FSH and luteinizing hormone act synergistically in reproduction.",Hormone,"medicine,hormone"
hero,"A hero or heroine refers to characters who, in the face of danger and adversity or from a position of weakness, display courage and/or the will for self-sacrifice—that is, heroism—for some greater good of all humanity. This definition originally referred to martial courage or excellence but extended to more general moral excellence.
The word hero can be used as a gender-neutral term for both males and females as the word has no gender-specific suffix in English and can refer to any person who is considered a hero.
Stories of heroism may serve as moral examples. In classical antiquity, cults that venerated deified heroes such as Heracles, Perseus, and Achilles played an important role in Ancient Greek religion. Politicians, ancient and modern, have employed hero worship for their own apotheosis. Stories of the anti-hero also play a major role in Greek mythology and much of literature. The anti-hero is a protagonist whose qualities are the last expected from a person in certain situations; an anti-hero often lacks the typical characteristics of heroism, such as honor, nobility, bravery, compassion, and fortitude. The favorite type of anti-hero is a characterless individual.",,
moksha,"In Indian religions and Indian philosophy, moksha, also called vimoksha, vimukti and mukti, means emancipation, liberation or release. In soteriological and eschatological sense, it connotes freedom from saṃsāra, the cycle of death and rebirth. In epistemological and psychological sense, moksha connotes freedom, self-realization and self-knowledge.
Moksha is word from Jain literature that was used by Hindus later. In Hindu traditions, moksha is a central concept and included as one of the four aspects and goals of human life; the other three goals are dharma, artha, and kama. Together, these four aims of life are called Puruṣārtha in Hinduism.
The concept of moksha is found In Jainism, Buddhism and Hinduism. In some schools of Indian religions, moksha is considered equivalent to and used interchangeably with other terms such as vimoksha, vimukti, kaivalya, apavarga, mukti, nihsreyasa and nirvana. However, terms such as moksha and nirvana differ and mean different states between various schools of Hinduism, Buddhism and Jainism. The term nirvana is more common in Buddhism, while moksha is more prevalent in Hinduism.",Belief,"religion,belief"
divergence,"In vector calculus, divergence is a vector operator that measures the magnitude of a vector field's source or sink at a given point, in terms of a signed scalar. More technically, the divergence represents the volume density of the outward flux of a vector field from an infinitesimal volume around a given point.
For example, consider air as it is heated or cooled. The relevant vector field for this example is the velocity of the moving air at a point. If air is heated in a region it will expand in all directions such that the velocity field points outward from that region. Therefore the divergence of the velocity field in that region would have a positive value, as the region is a source. If the air cools and contracts, the divergence has a negative value, as the region is a sink.",,
hera,"Hera is the wife and one of three sisters of Zeus in the Olympian pantheon of Greek mythology and religion. Her chief function was as the goddess of women and marriage. Her counterpart in the religion of ancient Rome was Juno. The cow, lion and the peacock were considered sacred to her. Hera's mother is Rhea and her father Cronus.
Portrayed as majestic and solemn, often enthroned, and crowned with the polos, Hera may bear a pomegranate in her hand, emblem of fertile blood and death and a substitute for the narcotic capsule of the opium poppy. Scholar of Greek mythology Walter Burkert writes in Greek Religion, ""Nevertheless, there are memories of an earlier aniconic representation, as a pillar in Argos and as a plank in Samos.""
Hera was known for her jealous and vengeful nature against Zeus's lovers and offspring, but also against mortals who crossed her, such as Pelias. Paris also earned Hera's hatred by choosing Aphrodite as the most beautiful goddess.",Deity,"religion,deity"
