Question ID,Answer
1617,trent_affair
1911,monroe_doctrine
2359,george_wallace
2450,parthian_empire
2639,mark_antony
2709,cyrus_the_great
2919,girolamo_savonarola
3150,huldrych_zwingli
3206,teutonic_knights
3402,war_of_the_spanish_succession
3479,diocletian
3507,henry_i_of_england
3535,battle_of_agincourt
3731,jawaharlal_nehru
3864,henry_vii_of_england
3997,prague_spring
4053,babur
4179,teutonic_knights
4186,songhai_empire
4396,jameson_raid
4550,henry_wadsworth_longfellow
4585,the_crying_of_lot_49
4655,the_awakening_(chopin_novel)
4725,wallace_stevens
4977,d._h._lawrence
5110,a_good_man_is_hard_to_find_(short_story)
5138,wole_soyinka
5215,ambrose_bierce
5257,all_my_sons
5320,all_quiet_on_the_western_front
5453,fathers_and_sons_(novel)
5488,death_in_venice
5656,john_dryden
5677,the_rape_of_the_lock
5733,simone_de_beauvoir
5754,pale_fire
5887,the_master_builder
5929,the_count_of_monte_cristo
5978,major_barbara
6188,the_brothers_karamazov
6223,the_crying_of_lot_49
6314,william_golding
6510,the_little_foxes
6531,the_mayor_of_casterbridge
6573,volpone
6706,kubla_khan
6881,love_in_the_time_of_cholera
6895,octavio_paz
7077,manuel_puig
7126,henry_james
7161,volpone
7168,rabindranath_tagore
7189,silas_marner
7224,j._m._coetzee
7245,snow_country
8176,operon
8197,anaphase
8295,endoplasmic_reticulum
8309,urea_cycle
8428,glycolysis
8617,niacin
8708,cyclic_adenosine_monophosphate
8806,polymerase_chain_reaction
8813,thyroid
8897,corpus_callosum
8932,electronegativity
9373,liquid_crystal
9485,magnesium
10192,spin_(physics)
10493,antiferromagnetism
10521,photoelectric_effect
10689,plasma_(physics)
10738,franz_boas
10752,tisha_b'av
10850,william_graham_sumner
11046,david_ricardo
11158,orinoco
11417,seychelles
11578,either/or
11753,arthur_schopenhauer
11914,ontological_argument
11942,john_rawls
12026,peter_abelard
12033,the_protestant_ethic_and_the_spirit_of_capitalism
12054,the_structure_of_scientific_revolutions
12061,wilhelm_wundt
12075,bruno_bettelheim
12292,niobe
12320,thoth
12460,rama
12726,marduk
12817,manichaeism
12999,atalanta
13125,thoth
13167,diomedes
13195,thoth
13293,rhiannon
100716,william_howard_taft
102459,charles_de_gaulle
102774,great_northern_war
102781,the_house_of_the_spirits
102977,taiping_rebellion
103026,steppenwolf_(novel)
103061,histone
103740,the_theory_of_the_leisure_class
104713,entropy
104790,bonus_army
104825,microtubule
104916,thomas_pynchon
105007,spin_(physics)
105077,indra
105161,finland
105189,bystander_effect
105196,epic_of_gilgamesh
105217,nelson_mandela
105245,pragmatism
105322,tecumseh
105378,eugene_ionesco
105728,council_of_trent
106316,tammany_hall
106393,milton_friedman
106533,the_sickness_unto_death
106631,hedda_gabler
106925,bellerophon
107044,john_donne
107205,the_cherry_orchard
107429,piezoelectricity
107471,neutron
107709,love_in_the_time_of_cholera
107716,major_barbara
107821,martin_heidegger
107891,justinian_i
107954,council_of_constance
107982,samuel_taylor_coleridge
108094,pancreas
108213,the_temple_of_the_golden_pavilion
108416,zoroastrianism
108535,grignard_reaction
108745,the_picture_of_dorian_gray
108878,the_picture_of_dorian_gray
109088,tang_dynasty
109200,jean_genet
109452,karl_marx
109543,the_theory_of_the_leisure_class
109781,han_dynasty
110054,citric_acid_cycle
110467,dream_of_the_red_chamber
110908,lewis_cass
111111,melampus
112616,sinclair_lewis
112693,capacitor
113057,chlorophyll_a
113659,polarization_(waves)
113813,cyclohexane
115409,seneca_falls_convention
115710,martin_van_buren
115780,insulin
116333,john_c._calhoun
116382,treaty_of_waitangi
116389,histidine
116403,ivan_turgenev
116501,hermes
117082,parmenides
118482,tezcatlipoca
120148,mansfield_park
120974,great_zimbabwe
121401,the_duchess_of_malfi
121422,invisible_man
121457,derek_walcott
121842,the_sorrows_of_young_werther
121856,heracles
122073,martin_heidegger
122080,erving_goffman
122297,khmer_empire
122430,higgs_boson
122465,chester_a._arthur
123326,philip_roth
123634,talcott_parsons
138516,mark_twain
139608,pandora
140462,congress_of_vienna
141260,demeter
141792,ivanhoe
143871,hudson's_bay_company
143885,manifest_destiny
144774,rip_van_winkle
145327,henrik_ibsen
145334,their_eyes_were_watching_god
145558,pancreas
146013,john_tyler
146685,john_marshall
147308,leon_trotsky
147385,charlemagne
147427,erie_canal
147637,spin_(physics)
148099,finnegans_wake
148722,ming_dynasty
148848,war_and_peace
149709,black_hole_of_calcutta
150815,dracula
151529,battle_of_hastings
152390,francisco_pizarro
153244,joseph_mccarthy
155421,walter_mondale
155666,petrarch
156429,toni_morrison
157024,provisions_of_oxford
157234,stephen_crane
160531,jimmy_carter
160636,clifford_odets
161777,electronegativity
162162,jack_kerouac
162176,dead_souls
162526,the_catcher_in_the_rye
162568,la_belle_dame_sans_merci
162743,charlemagne
163219,teapot_dome_scandal
163268,battle_of_leyte_gulf
163618,yom_kippur
164339,battle_of_marathon
164402,lorraine_hansberry
164479,a_passage_to_india
164521,pablo_neruda
165277,naguib_mahfouz
165697,pearl_s._buck
165921,free_soil_party
165935,battle_of_puebla
167475,hudson's_bay_company
167524,the_fall_of_the_house_of_usher
168420,niacin
168910,anthony_burgess
170184,liquid_crystal
170415,leon_trotsky
170436,thornton_wilder
170933,four_quartets
171304,loki
172564,dracula
173047,zora_neale_hurston
173075,atalanta
173691,john_sherman
173768,daniel_defoe
173894,dopamine
174202,d._h._lawrence
174545,elegy_written_in_a_country_churchyard
175924,kulturkampf
175980,george_eliot
175994,henry_james
176001,the_age_of_innocence
176841,bleak_house
177177,samuel_de_champlain
179200,alfred_the_great
179389,nadine_gordimer
179403,joseph_conrad
179865,hernando_de_soto
180068,william_cullen_bryant
181902,j._m._coetzee
183477,john_jay
183519,diocletian
183526,chiang_kai-shek
183589,marcus_garvey
183638,boris_pasternak
183680,theseus
184275,mughal_empire
184310,war_of_the_austrian_succession
184387,caliban
184450,brave_new_world
184632,piezoelectricity
185164,joseph_conrad
185269,vitamin_k
185549,jacques_marquette
185682,a_good_man_is_hard_to_find_(short_story)
186165,nagasaki
187194,"the_life_and_opinions_of_tristram_shandy,_gentleman"
187201,nadine_gordimer
187208,epic_of_gilgamesh
187852,henry_the_navigator
187887,atlantic_charter
187894,william_the_conqueror
187915,henry_vii_of_england
187922,hadrian
187936,william_howard_taft
187950,parthian_empire
187957,battle_of_actium
187964,battle_of_austerlitz
187971,adolf_eichmann
187999,john_wycliffe
188006,bonus_army
188020,william_lloyd_garrison
188034,saul_bellow
188041,thomas_hardy
188048,measure_for_measure
188062,silas_marner
188069,the_turn_of_the_screw
188083,a_clockwork_orange
188104,the_tin_drum
188118,bleak_house
188125,sartor_resartus
188167,rainer_maria_rilke
188181,theodore_dreiser
188314,arthur_schopenhauer
188363,stomach
188818,john_tyler
188825,nelson_mandela
188846,council_of_trent
188881,pale_fire
188888,gulliver's_travels
