search,found,file num
albedo,Albedo,0
aristotle,Aristotle,0
altruism,Altruism,0
ayn_rand,Ayn Rand,0
algeria,Algeria,0
apollo,Apollo,0
animal_farm,Animal Farm,0
amphibian,Amphibian,0
alaska,Alaska,0
aldous_huxley,Aldous Huxley,0
algae,Algae,0
alkane,Alkane,0
abacus,Abacus,0
acid,Acid,0
apollo_11,Apollo 11,0
alkali_metal,Alkali metal,0
aardvark,Aardvark,0
arthur_schopenhauer,Arthur Schopenhauer,0
angola,Angola,0
alberta,Alberta,0
albania,Albania,0
azerbaijan,Azerbaijan,0
ampere,Ampere,0
alexander_the_great,Alexander the Great,0
asteroid,Asteroid,0
aquarius_(constellation),Aquarius (constellation),0
attila,Attila,0
aegean_sea,Aegean Sea,0
a_clockwork_orange,A Clockwork Orange,0
alexander_graham_bell,Alexander Graham Bell,0
andy_warhol,Andy Warhol,0
argon,Argon,0
arsenic,Arsenic,0
antimony,Antimony,0
astatine,Astatine,0
author,Author,0
a._a._milne,A. A. Milne,0
alvin_toffler,Alvin Toffler,0
albert_speer,Albert Speer,0
axon,Axon,0
albert_camus,Albert Camus,0
agatha_christie,Agatha Christie,0
the_plague,The Plague,0
aaron,Aaron,0
alcohol,Alcohol,0
allen_ginsberg,Allen Ginsberg,1
aristophanes,Aristophanes,1
albert_schweitzer,Albert Schweitzer,1
austrian_school,Austrian School,1
geography_of_azerbaijan,Geography of Azerbaijan,1
avicenna,Avicenna,1
anaximander,Anaximander,1
aphrodite,Aphrodite,1
athena,Athena,1
amino_acid,Amino acid,1
astronomical_unit,Astronomical unit,1
actaeon,Actaeon,1
arianism,Arianism,1
alpha_decay,Alpha decay,1
apocrypha,Apocrypha,1
annales_school,Annales School,1
antimatter,Antimatter,1
apatosaurus,Apatosaurus,1
ammonia,Ammonia,1
ahab,Ahab,1
alcuin,Alcuin,1
amine,Amine,1
absolute_zero,Absolute zero,1
amide,Amide,1
antonio_vivaldi,Antonio Vivaldi,1
abraham,Abraham,1
absalom,Absalom,1
asgard,Asgard,1
alfred_russel_wallace,Alfred Russel Wallace,1
aspirin,Aspirin,1
acupuncture,Acupuncture,1
aeneas,Aeneas,1
agamemnon,Agamemnon,1
agni,Agni,1
ajax_(mythology),Ajax (mythology),1
albertus_magnus,Albertus Magnus,1
alcmene,Alcmene,1
andrew_jackson,Andrew Jackson,1
alfred_the_great,Alfred the Great,1
amazons,Amazons,2
anaxagoras,Anaxagoras,2
andaman_islands,Andaman Islands,2
an_enquiry_concerning_human_understanding,An Enquiry Concerning Human Understanding,2
adenosine_triphosphate,Adenosine triphosphate,2
adam_smith,Adam Smith,2
antoine_lavoisier,Antoine Lavoisier,2
art_deco,Art Deco,2
antigen,Antigen,2
alessandro_volta,Alessandro Volta,2
andromeda_(mythology),Andromeda (mythology),2
apparent_magnitude,Apparent magnitude,2
alpha_centauri,Alpha Centauri,2
alvar_aalto,Alvar Aalto,2
a._j._ayer,A. J. Ayer,2
aeschylus,Aeschylus,2
ares,Ares,2
amerigo_vespucci,Amerigo Vespucci,2
antonio_canova,Antonio Canova,2
auguste_rodin,Auguste Rodin,2
acts_of_the_apostles,Acts of the Apostles,2
assyria,Assyria,2
aphasia,Aphasia,2
aorta,Aorta,2
aesthetics,Aesthetics,2
ark_of_the_covenant,Ark of the Covenant,2
all_quiet_on_the_western_front,All Quiet on the Western Front,2
afrikaans,Afrikaans,2
aeolus,Aeolus,2
armadillo,Armadillo,2
sid_meier's_alpha_centauri,Sid Meier's Alpha Centauri,2
antonio_salieri,Antonio Salieri,2
arthur_eddington,Arthur Eddington,3
adrenal_gland,Adrenal gland,3
aramaic_language,Aramaic language,3
actinide,Actinide,3
arthur_miller,Arthur Miller,3
