Answer,Description,Specific Type,General Type
darius_i,"Darius I was the third king of the Persian Achaemenid Empire. Also called Darius the Great, he ruled the empire at its peak, when it included much of West Asia, the Caucasus, Central Asia as far as the Indus Valley, the eastern Balkans and Pannonia, portions of north and northeast Africa including Egypt, eastern Libya and coastal Sudan.
Darius ascended the throne by overthrowing Gaumata, the alleged magus usurper of Bardiya with the assistance of six other Persian noble families; Darius was crowned the following morning. The new king met with rebellions throughout his kingdom and quelled them each time. A major event in Darius's life was his expedition to punish Athens and Eretria for their aid in the Ionian Revolt, and subjugate Greece. Although ultimately ending in failure at the Battle of Marathon, Darius succeeded at the re-subjugation of Thrace, expansion of the empire via the conquest of Macedon, the Cyclades, and the island of Naxos, and the sacking and enslavement of the city of Eretria.
Darius organized the empire by dividing it into provinces and placing satraps to govern it.",Monarch,"royalty,monarch"
francis_of_assisi,"Saint Francis of Assisi was an Italian Catholic friar and preacher. He founded the men's Order of Friars Minor, the women’s Order of St. Clare, and the Third Order of Saint Francis for men and women not able to live the lives of itinerant preachers, followed by the early members of the Order of Friars Minor, or the monastic lives of the Poor Clares. Though he was never ordained to the Catholic priesthood, Francis is one of the most venerated religious figures in history.
Francis' father was Pietro di Bernardone, a prosperous silk merchant. Francis lived the high-spirited life typical of a wealthy young man, even fighting as a soldier for Assisi. While going off to war in 1204, Francis had a vision that directed him back to Assisi, where he lost his taste for his worldly life. On a pilgrimage to Rome, he joined the poor in begging at St. Peter's Basilica. The experience moved him to live in poverty. Francis returned home, began preaching on the streets, and soon gathered followers. His Order was authorized by Pope Innocent III in 1210.",Philosopher,"m,02h6fbs"
dieterich_buxtehude,"Dieterich Buxtehude was a Danish-German organist and composer of the Baroque period. His organ works represent a central part of the standard organ repertoire and are frequently performed at recitals and in church services. He composed in a wide variety of vocal and instrumental idioms, and his style strongly influenced many composers, including Johann Sebastian Bach. Today, Buxtehude is considered one of the most important composers in Germany of the mid-Baroque.",Composer,"music,composer"
giovanni_pierluigi_da_palestrina,"Giovanni Pierluigi da Palestrina was an Italian Renaissance composer of sacred music and the best-known 16th-century representative of the Roman School of musical composition. He has had a lasting influence on the development of church music, and his work has often been seen as the culmination of Renaissance polyphony.",Composer,"music,composer"
moksha,Moksha is an actor.,Actor,"m,02hrh1q"
david_(michelangelo),"David was, according to the Bible, the second king of the United Kingdom of Israel and Judah, and according to the New Testament Gospels of Matthew and Luke, an ancestor of Jesus. His life is conventionally dated to c. 1040–970 BC, his reign over Judah c. 1010–1002 BC, and his reign over the United Kingdoms of Israel c. 1002–970 BC.
The Books of Samuel, 1 Kings, and 1 Chronicles are the only sources of information on David, although the Tel Dan Stele contains the phrase בית דוד, read as ""House of David"", which most scholars take as confirmation of the existence in the mid-9th century BC of a Judean royal dynasty called the House of David.
He is depicted as a righteous king, although not without faults, as well as an acclaimed warrior, musician, and poet, traditionally credited for composing many of the psalms contained in the Book of Psalms.
David is an important figure to members of the Jewish, Christian and Islamic faiths. Biblical tradition maintains the Messiah's direct descent from the line of David. In Islam, he is considered a prophet.",Religious Leader,"religion,religious leader"
anna_akhmatova,"Anna Andreyevna Gorenko, better known by the pen name Anna Akhmatova, was a Russian modernist poet, one of the most acclaimed writers in the Russian canon.
Akhmatova's work ranges from short lyric poems to intricately structured cycles, such as Requiem, her tragic masterpiece about the Stalinist terror. Her style, characterised by its economy and emotional restraint, was strikingly original and distinctive to her contemporaries. The strong and clear leading female voice struck a new chord in Russian poetry. Her writing can be said to fall into two periods – the early work and her later work, divided by a decade of reduced literary output. Her work was condemned and censored by Stalinist authorities and she is notable for choosing not to emigrate, and remaining in Russia, acting as witness to the atrocities around her. Her perennial themes include meditations on time and memory, and the difficulties of living and writing in the shadow of Stalinism.
Primary sources of information about Akhmatova's life are relatively scant, as war, revolution and the totalitarian regime caused much of the written record to be destroyed.",Poet,"m,05z96"
james_g._blaine,"James Gillespie Blaine was an American statesman and Republican politician who represented Maine in the United States House of Representatives from 1863 to 1876, serving as Speaker of the House from 1869 to 1875, and then in the United States Senate from 1876 to 1881. He twice served as United States Secretary of State and unsuccessfully sought the Republican nomination for President in 1876 and 1880 before being nominated in 1884. In the general election, he was narrowly defeated by Democrat Grover Cleveland. Blaine was one of the late 19th century's leading Republicans and champion of the moderate reformist faction of the party known as the ""Half-Breeds"".
Blaine was born in the western Pennsylvania town of West Brownsville and after college moved to Maine where he became a newspaper editor. Nicknamed ""the Magnetic Man,"" he was a charismatic speaker in an era that prized oratory. He began his political career as an early supporter of Abraham Lincoln and the Union war effort in the American Civil War. In Reconstruction, Blaine was a supporter of black suffrage, but opposed some of the more coercive measures of the Radical Republicans.",U.S. Congressperson,"government,u s congressperson"
james_k._polk,"James Knox Polk was the 11th President of the United States. Polk was born in Mecklenburg County, North Carolina. He later lived in and represented Tennessee. A Democrat, Polk served as the 17th Speaker of the House of Representatives and Governor of Tennessee. Polk was the surprise candidate for president in 1844, defeating Henry Clay of the rival Whig Party by promising to annex Texas. Polk was a leader of Jacksonian Democracy during the Second Party System.
Polk was the last strong pre–Civil War president, and he is the earliest of whom there are surviving photographs taken during a term in office. He is noted for his foreign policy successes. He threatened war with Britain over the issue of which nation owned the Oregon Country, then backed away and split the ownership of the region with Britain. When Mexico rejected American annexation of Texas, Polk led the nation to a sweeping victory in the Mexican-American War, which gave the United States most of its present Southwest. He secured passage of the Walker tariff of 1846, which had low rates that pleased his native South, and he established a treasury system that lasted until 1913.",US President,"government,us president"
alfred_thayer_mahan,"Alfred Thayer Mahan was a United States Navy admiral, geostrategist, and historian, who has been called ""the most important American strategist of the nineteenth century."" His concept of ""sea power"" was based on the idea that countries with greater naval power will have greater worldwide impact; it was most famously presented in The Influence of Sea Power Upon History, 1660–1783. The concept had an enormous influence in shaping the strategic thought of navies across the world, especially in the United States, Germany, Japan and Great Britain, ultimately causing a European naval arms race in the 1890s, which included the United States. His ideas still permeate the U.S. Navy Doctrine.
Several ships have been named as the USS Mahan, including the lead vessel of a class of destroyers.",Historian,"m,03jgz"
