Answer,Person,Specific Type,General Type
xylem,0,,
b-type_main-sequence_star,0,,
chromatic_aberration,0,,
jihad,0,Religious Practice,"religion,religious practice"
aegis,0,,
inca_empire,0,Location,"location,location"
cyprus,0,Country,"location,country"
lawrence_livermore_national_laboratory,0,Cancer Center Constituent,"medicine,cancer center constituent"
norovirus,0,Disease cause,"medicine,disease cause"
huitzilopochtli,0,Deity,"religion,deity"
yosemite_national_park,0,National park,
darius_i,1,Monarch,"royalty,monarch"
kwashiorkor,0,Disease or medical condition,"medicine,disease"
geography_of_thailand,0,,
the_lion_king_(musical),0,Music theatre Play,
francis_of_assisi,1,Philosopher,
eugenics,0,Film subject,"film,film subject"
uzbekistan,0,Country,"location,country"
bose-einstein_condensate,0,,
dieterich_buxtehude,1,Composer,"music,composer"
a_hero_of_our_time,0,Book,"book,book"
chloroplast,0,,
giovanni_pierluigi_da_palestrina,1,Composer,"music,composer"
mirage,0,,
sodom_and_gomorrah,0,City/Town/Village,"location,citytown"
naming_and_necessity,0,Philosophy Book,
citric_acid_cycle,0,,
follicle-stimulating_hormone,0,Hormone,"medicine,hormone"
libertarian_party_(united_states),0,,
hero,0,,
moksha,1,Actor,
divergence,0,,
hera,0,Deity,"religion,deity"
fourteen_points,0,Presented work,"event,presented work"
cyclopentadiene,0,Chemical Compound,"chemistry,chemical compound"
ming_dynasty,0,Royal line,"royalty,royal line"
pancreas,0,Anatomical structure,"medicine,anatomical structure"
david_(michelangelo),1,Religious Leader,"religion,religious leader"
the_cherry_orchard,0,Play,"theater,play"
leyden_jar,0,Invention,"law,invention"
lagrangian_point,0,Orbit Type,"astronomy,orbit type"
trinitrotoluene,0,Chemical Compound,"chemistry,chemical compound"
interferon,0,Drug,"medicine,drug"
paramagnetism,0,,
a._j._ayer,0,,
anna_akhmatova,1,Poet,
cavendish_laboratory,0,Building,"architecture,building"
james_g._blaine,1,U.S. Congressperson,"government,u s congressperson"
james_k._polk,1,US President,"government,us president"
dna,0,Chemical Compound,"chemistry,chemical compound"
kellogg-briand_pact,0,,
symphony,0,,
phototropism,0,,
australopithecus_africanus,0,Organism Classification,"biology,organism classification"
glass,0,,
negative_index_metamaterials,0,,
holi,0,Holiday,"time,holiday"
sakhalin,0,Geographical Feature,"geography,geographical feature"
the_hollow_men,0,Poem,"book,poem"
fitness_(biology),0,Media genre,"media common,media genre"
alfred_thayer_mahan,1,Historian,
nitric_oxide,0,Chemical Compound,"chemistry,chemical compound"
joseph_conrad,1,Novelist,
erlking,0,,
measure_for_measure,0,,
primality_test,0,,
georges_clemenceau,0,,
philip_roth,1,Novelist,
philipp_melanchthon,1,Astrologer,
myelin_sheath_gap,0,,
orfeo_ed_euridice,0,Opera,"opera,opera"
titanium,0,Chemical Element,"chemistry,chemical element"
ionization_energy,0,,
rayon,0,Fiber,"fashion,fiber"
the_stranger_(novel),0,Absurdist Fiction Book,
hedda_gabler,0,Book,"book,book"
saskatchewan,0,Canadian Province,"location,province"
tropical_cyclone,0,Disaster type,"event,disaster type"
apocrypha,1,Musical Artist,"music,artist"
pantheism,0,Belief,"religion,belief"
reye's_syndrome,0,,
helsinki,0,City/Town/Village,"location,citytown"
superfluid_helium-4,0,,
centriole,0,,
john_jay,0,,
rainer_maria_rilke,1,Novelist,
monopsony,0,,
stoicism,0,Literature Subject,"book,book subject"
quakers,0,Religion,"religion,religion"
demosthenes,1,Politician,"government,politician"
ligand,0,,
finite-state_machine,0,,
ural_mountains,0,Mountain range,"geography,mountain range"
alzheimer's_disease,0,Disease or medical condition,"medicine,disease"
atomic_nucleus,0,,
glycolysis,0,,
filippo_lippi,1,Painting Artist,
lake_of_the_woods,0,Lake,"geography,lake"
kevlar,0,Textile,"fashion,textile"
jacques_offenbach,1,Composer,"music,composer"
murder_on_the_orient_express,0,Crime Fiction Book,
diabetes_mellitus,0,Disease or medical condition,"medicine,disease"
jacques-louis_david,1,Painting Artist,
angola,0,Country,"location,country"
friedrich_hayek,1,Economist,
eliel_saarinen,1,Architect,"architecture,architect"
perturbation_theory,0,,
leonard_bernstein,1,20th century classical Artist,
carbocation,0,,
moses_(michelangelo),1,Prophet,
sekhmet,0,Deity,"religion,deity"
edward_said,1,Professor,
semiconductor,0,Industry,"business,industry"
phaedo,0,Book,"book,book"
scarlet_fever,0,Disease or medical condition,"medicine,disease"
book_of_the_dead,0,Written Work,"book,written work"
giambattista_vico,1,Philosopher,
slide_rule,0,Invention,"law,invention"
otto_von_bismarck,1,Statesman,
dracula,0,Gothic Fiction Book,
chlorine,0,Chemical Element,"chemistry,chemical element"
jameson_raid,0,Military Conflict,"military,military conflict"
buster_keaton,1,Actor,
nibelungenlied,0,,
samuel_pierpont_langley,1,Physicist,
silicon,0,Chemical Element,"chemistry,chemical element"
labour_party_(uk),0,Political party,"government,political party"
lie_algebra,0,Field of study,"education,field of study"
sonogashira_coupling,0,,
quadrupole,0,,
feldspar,0,Visual Art Medium,"visual art,visual art medium"
pulsar,0,Celestial object category,"astronomy,celestial object category"
clara_barton,1,Nurse,
silent_cry,0,Rock Album,
marian_anderson,1,Singer,
three_studies_for_figures_at_the_base_of_a_crucifixion,0,Painting Artwork,
shirley_jackson,1,Novelist,
andrei_rublev_(film),1,Painting Artist,
erikson's_stages_of_psychosocial_development,0,,
undine_(lortzing),0,Opera,"opera,opera"
atalanta,0,,
gospel_of_thomas,0,Religious Text,"religion,religious text"
sulawesi,0,Island,"geography,island"
drosophila_melanogaster,0,Biological Species,
franz_kafka,1,Novelist,
alfred_russel_wallace,1,Evolutionary Biologist,
olbers'_paradox,0,Literature Subject,"book,book subject"
alexander_pope,1,Poet,
federal_emergency_management_agency,0,Government Agency,"government,government agency"
atlas_mountains,0,Mountain range,"geography,mountain range"
ferroelectricity,0,,
fermionic_condensate,0,,
anthony_van_dyck,1,Painting Artist,
ilmarinen,0,Fictional Character,"fictional universe,fictional character"
harmonic_oscillator,0,,
zeno_of_elea,1,Philosopher,
cornwall,0,English non-metropolitan county,"location,uk non metropolitan county"
alien_and_sedition_acts,0,,
morality,0,Quotation Subject,"media common,quotation subject"
beyond_the_pleasure_principle,0,Book,"book,book"
george_grosz,1,Painting Artist,
otello,0,Opera,"opera,opera"
banff_national_park,0,National park,
cross_of_gold_speech,0,Presented work,"event,presented work"
oeconomicus,0,Treatise,
wild_strawberries_(film),0,,
spiritual_exercises_of_ignatius_of_loyola,0,,
neutron_star,0,Celestial object category,"astronomy,celestial object category"
astarte,0,Deity,"religion,deity"
the_road_to_serfdom,0,Economics Book,
jacquerie,0,,
benedetto_croce,1,Philosopher,
cupid,1,Pop Artist,
meno,0,,
lepidoptera,0,Biological Order,
rite_of_passage,0,,
agni,0,,
baruch_spinoza,1,Philosopher,
robert_lowie,1,Anthropologist,
hard_times,0,Novel,
tungsten,0,Chemical Element,"chemistry,chemical element"
lactose_intolerance,0,Disease or medical condition,"medicine,disease"
lake_michigan,0,Lake,"geography,lake"
heracles,0,Opera Character,"opera,opera character"
saul,1,Monarch,"royalty,monarch"
brachiosaurus,0,Organism Classification,"biology,organism classification"
supply_(economics),0,,
queen_of_sheba,1,Person Or Being In Fiction,"fictional universe,person in fiction"
escape_from_freedom,0,Book,"book,book"
crimean_war,0,Military Conflict,"military,military conflict"
ebro,0,River,"geography,river"
john_peter_zenger,1,Journalist,
hammond's_postulate,0,,
puck_(a_midsummer_night's_dream),0,,
delphi,0,World Heritage Site,
leon_trotsky,1,Military Commander,"military,military commander"
meissner_effect,0,,
david_mamet,1,Dramatist,
aten,0,Deity,"religion,deity"
magnesium,0,Chemical Element,"chemistry,chemical element"
polaris_(comics),0,Comic Book Character,"comic books,comic book character"
friedel-crafts_reaction,0,,
safavid_dynasty,0,Royal line,"royalty,royal line"
butane,0,Chemical Compound,"chemistry,chemical compound"
william_jennings_bryan,1,U.S. Congressperson,"government,u s congressperson"
maximilien_de_robespierre,1,Politician,"government,politician"
rossby_wave,0,,
alcuin,1,Philosopher,
normandy,0,,
philip_ii_of_macedon,1,Monarch,"royalty,monarch"
obscenity,0,Quotation Subject,"media common,quotation subject"
otto_rank,1,Psychologist,
medulla_oblongata,0,Brain Structure,"medicine,brain"
kerr_metric,0,,
pregnancy,0,Disease or medical condition,"medicine,disease"
hadith,0,Media genre,"media common,media genre"
symphony_no._104_(haydn),0,,
prisoner's_dilemma,0,,
markov_chain,0,Video Game Publisher,"cvg,cvg publisher"
angkor,0,Administrative Division,"location,administrative division"
sleipnir,1,Musical Group,"music,musical group"
corpus_luteum,0,Anatomical structure,"medicine,anatomical structure"
chile,0,Country,"location,country"
huey_long,1,U.S. Congressperson,"government,u s congressperson"
pompeii,0,City/Town/Village,"location,citytown"
essential_amino_acid,0,Chemical Classification,"chemistry,chemical classification"
calcium,0,Chemical Element,"chemistry,chemical element"
alkaloid,0,Literature Subject,"book,book subject"
joshua_reynolds,1,Painting Artist,
taqiyya,0,,
demeter,0,Deity,"religion,deity"
yggdrasil,0,,
neville_chamberlain,1,Politician,"government,politician"
middletown_studies,0,,
bill_of_attainder,0,,
inferior_good,0,,
george_washington_(houdon),1,US President,"government,us president"
the_death_of_socrates,0,,
george_b._mcclellan,1,Military Commander,"military,military commander"
immune_tolerance,0,,
gamma-ray_burst,0,,
adrenal_gland,0,Anatomical structure,"medicine,anatomical structure"
tishrei,0,Month,"time,month"
nervous_conditions,0,Fiction Book,
buddy_rich,1,Bandleader,
predestination_(calvinism),0,,
lake_kivu,0,Body Of Water,"geography,body of water"
charles_a._beard,1,Historian,
lady_with_an_ermine,0,Painting Artwork,
real_irish_republican_army,0,Armed Force,"military,armed force"
djibouti,0,Administrative Division,"location,administrative division"
the_return_of_the_native,0,Book,"book,book"
transnistria,0,Country,"location,country"
georg_wilhelm_friedrich_hegel,1,Philosopher,
golgi_apparatus,0,,
max_horkheimer,1,Philosopher,
fortran,0,Programming Language,"computer,programming language"
scrotum,0,Anatomical structure,"medicine,anatomical structure"
telemachus,0,Film character,"film,film character"
guinevere,0,Film character,"film,film character"
price_discrimination,0,,
hudson's_bay_company,0,Retail,
sarpedon,0,Book Character,"book,book character"
oaxaca,0,Mexican state,"location,mx state"
lens_(anatomy),0,Anatomical structure,"medicine,anatomical structure"
"toccata_and_fugue_in_d_minor,_bwv_565",0,Composition,"music,composition"
mark_antony,1,Military Commander,"military,military commander"
ghosts_(play),0,Book,"book,book"
g._e._m._anscombe,1,Philosopher,
hmong_customs_and_culture,0,,
trombone,0,Musical instrument,"music,instrument"
neutrino,0,Subatomic particle,"physics,particle"
dark_matter,0,,
pleiades,0,Celestial Object,"astronomy,celestial object"
sociology,0,Field of study,"education,field of study"
public_good,0,,
cynicism_(philosophy),0,,
james_buchanan,1,US President,"government,us president"
noam_chomsky,1,Historian,
