link,allcount,intext,QANTA,IR_Wiki,train,test
xylem,132,0,105,27,132,0
b-type_main-sequence_star,2,0,0,2,2,0
chromatic_aberration,9,0,0,9,9,0
jihad,14,0,0,14,14,0
aegis,50,0,0,50,50,0
inca_empire,184,0,113,71,179,5
cyprus,5,0,0,5,5,0
lawrence_livermore_national_laboratory,2,0,0,2,2,0
norovirus,14,0,0,14,14,0
albert_gallatin,4,4,0,0,4,0
tony_blair,1,1,0,0,1,0
huitzilopochtli,312,0,236,76,312,0
yosemite_national_park,15,0,0,15,15,0
darius_i,275,0,178,97,264,11
kwashiorkor,15,0,0,15,15,0
geography_of_thailand,18,0,0,18,18,0
saskatchewan,10,0,0,10,10,0
francis_of_assisi,41,4,0,37,40,1
bill_clinton,6,6,0,0,6,0
eugenics,39,0,0,39,39,0
uzbekistan,7,0,0,7,7,0
roger_williams_,5,0,4,1,0,5
bose-einstein_condensate,121,0,121,0,121,0
dieterich_buxtehude,1,0,0,1,1,0
a_hero_of_our_time,303,0,197,106,296,7
richard_wright_,12,0,7,5,0,12
chloroplast,206,0,69,137,206,0
giovanni_pierluigi_da_palestrina,3,0,0,3,3,0
mirage,3,0,0,3,3,0
sodom_and_gomorrah,29,10,0,19,29,0
naming_and_necessity,3,0,0,3,2,1
citric_acid_cycle,151,4,83,64,141,10
follicle-stimulating_hormone,16,0,0,16,16,0
moll_flanders,2,2,0,0,2,0
libertarian_party_(united_states),20,0,0,20,20,0
hero,13,0,0,13,13,0
moksha,74,0,69,5,74,0
divergence,17,0,0,17,17,0
hera,749,0,278,471,749,0
fourteen_points,111,7,92,12,108,3
cyclopentadiene,4,0,0,4,4,0
ming_dynasty,377,0,187,190,352,25
pancreas,157,0,104,53,157,0
david_(michelangelo),4,0,0,4,4,0
richard_mentor_johnson,7,7,0,0,7,0
the_cherry_orchard,347,0,163,184,336,11
leyden_jar,37,0,27,10,36,1
trinitrotoluene,14,0,0,14,14,0
interferon,56,0,0,56,56,0
paramagnetism,194,0,132,62,194,0
a._j._ayer,14,0,0,14,14,0
anna_akhmatova,23,0,0,23,21,2
cavendish_laboratory,8,0,0,8,8,0
james_g._blaine,368,0,121,247,368,0
the_metamorphosis,232,1,156,75,225,7
james_k._polk,283,0,115,168,283,0
dna,131,0,0,131,131,0
kellogg-briand_pact,56,0,40,16,56,0
richard_posner,10,0,0,10,9,1
phototropism,6,0,0,6,6,0
australopithecus_africanus,2,0,0,2,2,0
glass,66,0,0,66,66,0
negative_index_metamaterials,75,0,0,75,72,3
holi,86,0,0,86,86,0
sakhalin,12,0,0,12,12,0
the_hollow_men,147,0,73,74,142,5
fitness_(biology),4,0,0,4,4,0
alfred_thayer_mahan,4,0,0,4,3,1
nitric_oxide,145,6,0,139,138,7
joseph_conrad,1007,8,437,562,967,40
erlking,4,0,0,4,4,0
measure_for_measure,118,1,85,32,111,7
primality_test,2,0,0,2,2,0
georges_clemenceau,168,0,68,100,161,7
philip_roth,147,0,76,71,138,9
philipp_melanchthon,56,0,0,56,55,1
myelin_sheath_gap,34,0,0,34,32,2
orfeo_ed_euridice,2,0,0,2,2,0
titanium,141,0,76,65,141,0
ionization_energy,45,4,0,41,45,0
s_views_on_philosophy,8,0,0,8,0,8
rayon,5,0,0,5,5,0
the_homecoming,3,3,0,0,3,0
the_stranger_(novel),3,0,0,3,3,0
battle_of_waterloo,2,2,0,0,2,0
hedda_gabler,322,1,193,128,304,18
the_lion_king_(musical),1,0,0,1,1,0
tropical_cyclone,41,0,0,41,41,0
apocrypha,30,0,0,30,30,0
pantheism,15,0,0,15,15,0
compromise_of_,8,5,2,1,5,3
reye's_syndrome,10,0,0,10,10,0
helsinki,4,0,0,4,4,0
superfluid_helium-4,142,0,0,142,142,0
centriole,7,0,0,7,7,0
john_jay,195,0,73,122,189,6
rainer_maria_rilke,322,0,176,146,301,21
s_laws_of_motion,3,0,0,3,0,3
monopsony,19,0,0,19,19,0
stoicism,152,0,115,37,152,0
quakers,55,0,0,55,55,0
demosthenes,30,0,0,30,30,0
ligand,146,0,109,37,146,0
finite-state_machine,4,0,0,4,4,0
ural_mountains,6,0,0,6,6,0
the_balcony,2,2,0,0,1,1
atomic_nucleus,57,0,0,57,54,3
glycolysis,171,0,70,101,171,0
vanity_fair_,23,0,3,20,0,23
symphony_no._7_(shostakovich),4,0,0,4,4,0
lake_of_the_woods,1,0,0,1,1,0
kevlar,2,0,0,2,2,0
jacques_offenbach,8,0,0,8,8,0
murder_on_the_orient_express,18,0,0,18,18,0
diabetes_mellitus,40,0,0,40,40,0
jacques-louis_david,82,0,0,82,82,0
angola,5,0,0,5,5,0
friedrich_hayek,273,0,107,166,259,14
eliel_saarinen,1,0,0,1,1,0
perturbation_theory,54,0,0,54,54,0
leonard_bernstein,4,0,0,4,4,0
